ID,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,Creditability,Predicted,Confidence,Level,Confidence_Score
49,33.60%,0,103.10%,9396,Low Risk,Low Risk,0.5,1,1
50,63.40%,0,85.50%,8500,Low Risk,High Risk,0.59,1,2
51,92.30%,0,20.80%,9345,Low Risk,Low Risk,0.58,1,2
52,14.70%,0,0.30%,6473,Low Risk,High Risk,0.54,1,1
53,0.00%,0,15.80%,4400,Low Risk,Low Risk,0.59,1,2
54,73.70%,0,35.40%,6300,Low Risk,Low Risk,0.57,1,2
55,90.30%,0,35.40%,6000,High Risk,Low Risk,0.54,1,1
56,50.90%,0,46.00%,2000,Low Risk,Low Risk,0.56,1,2
57,85.60%,0,33.60%,5416,High Risk,High Risk,0.56,1,2
58,29.00%,1,24.70%,5150,High Risk,Low Risk,0.5,1,1
59,65.10%,0,21.60%,4200,High Risk,Low Risk,0.58,1,2
60,17.40%,0,108.00%,4000,High Risk,High Risk,0.57,1,2
61,0.00%,0,37.10%,9125,Low Risk,High Risk,0.51,1,1
62,8.20%,1,18.90%,9439,Low Risk,Low Risk,0.59,1,2
63,6.20%,0,39.20%,6843,Low Risk,Low Risk,0.52,1,1
64,0.80%,1,36.70%,5580,High Risk,Low Risk,0.58,1,2
65,29.50%,0,46.00%,4000,Low Risk,Low Risk,0.59,1,2
66,13.10%,0,62.70%,35733,Low Risk,High Risk,0.52,1,1
67,27.20%,3,47.10%,8333,High Risk,High Risk,0.58,1,2
68,92.70%,0,60.10%,4056,High Risk,High Risk,0.55,1,2
69,60.90%,0,13.50%,4823,High Risk,Low Risk,0.58,1,2
70,71.20%,0,60.50%,7917,Low Risk,Low Risk,0.5,1,1
71,42.60%,0,43.60%,4000,Low Risk,High Risk,0.53,1,1
72,94.20%,1,41.70%,4033,Low Risk,Low Risk,0.54,1,1
73,88.90%,0,27.40%,6747,High Risk,Low Risk,0.55,1,2
74,95.20%,1,19.30%,2000,High Risk,High Risk,0.58,1,2
75,13.60%,1,19.70%,9452,High Risk,Low Risk,0.58,1,2
76,10.80%,0,66.20%,9397,High Risk,High Risk,0.57,1,2
77,91.60%,0,15.20%,3600,Low Risk,High Risk,0.54,1,1
78,61.40%,0,78.30%,5000,High Risk,Low Risk,0.51,1,1
79,100.00%,0,8.60%,2300,Low Risk,Low Risk,0.58,1,2
80,55.80%,0,58.50%,6305,High Risk,High Risk,0.58,1,2
81,58.60%,0,304.10%,1667,High Risk,High Risk,0.6,2,2
82,3.20%,0,46.10%,1700,High Risk,Low Risk,0.62,2,3
83,73.70%,0,39.50%,14407,Low Risk,Low Risk,0.6,2,2
84,52.40%,4,41.60%,10350,High Risk,High Risk,0.67,2,4
85,90.10%,0,42.50%,11300,Low Risk,Low Risk,0.62,2,3
86,59.40%,0,0.10%,4330,High Risk,High Risk,0.69,2,4
87,61.80%,0,77.50%,6200,High Risk,Low Risk,0.64,2,3
88,62.30%,0,35.70%,5000,High Risk,Low Risk,0.66,2,4
89,17.50%,1,19.40%,4828,Low Risk,Low Risk,0.62,2,3
90,80.10%,0,34.90%,3500,Low Risk,High Risk,0.65,2,4
91,39.90%,0,88.40%,5900,High Risk,High Risk,0.6,2,2
92,26.60%,0,35.50%,2250,Low Risk,Low Risk,0.64,2,3
93,60.80%,0,21.80%,5050,Low Risk,High Risk,0.61,2,3
94,100.00%,0,1.80%,4100,Low Risk,High Risk,0.67,2,4
95,100.00%,3,163.00%,1800,High Risk,High Risk,0.61,2,3
96,0.00%,1,4.50%,8761,Low Risk,High Risk,0.61,2,3
97,16.30%,0,232.40%,2500,High Risk,Low Risk,0.61,2,3
98,68.60%,0,16.10%,11667,Low Risk,High Risk,0.6,2,2
99,58.90%,0,32.90%,3209,High Risk,High Risk,0.63,2,3
100,80.90%,0,27.90%,4300,High Risk,High Risk,0.68,2,4
101,24.50%,2,40.70%,6350,High Risk,Low Risk,0.65,2,4
102,61.20%,0,74.00%,15800,High Risk,High Risk,0.62,2,3
103,72.80%,0,93.10%,1800,High Risk,High Risk,0.62,2,3
104,82.00%,0,8.60%,6300,Low Risk,High Risk,0.61,2,3
105,12.90%,0,20.70%,9900,Low Risk,Low Risk,0.65,2,4
106,53.90%,0,49.70%,4000,Low Risk,Low Risk,0.63,2,3
107,0.10%,0,48.20%,4100,Low Risk,High Risk,0.69,2,4
108,56.60%,0,30.70%,13142,Low Risk,Low Risk,0.66,2,4
109,60.40%,1,32.20%,3900,High Risk,High Risk,0.6,2,2
110,78.00%,0,15.30%,8333,High Risk,Low Risk,0.61,2,3
111,7.00%,0,32.70%,6300,Low Risk,Low Risk,0.64,2,3
112,27.00%,0,48.20%,1812,Low Risk,High Risk,0.63,2,3
113,3.30%,1,9.30%,6950,Low Risk,Low Risk,0.65,2,4
114,96.90%,0,53.00%,7613,High Risk,High Risk,0.63,2,3
115,96.10%,0,22.60%,9641,Low Risk,Low Risk,0.61,2,3
116,100.00%,0,0.00%,1840,High Risk,High Risk,0.62,2,3
117,0.20%,0,58.80%,5943,Low Risk,Low Risk,0.66,2,4
118,45.70%,0,66.70%,6566,High Risk,Low Risk,0.63,2,3
119,52.30%,0,51.10%,4300,High Risk,Low Risk,0.61,2,3
120,100.00%,0,11.20%,2668,Low Risk,High Risk,0.63,2,3
121,41.50%,0,35.30%,5000,Low Risk,Low Risk,0.62,2,3
122,4.20%,0,44.60%,10910,Low Risk,Low Risk,0.64,2,3
123,0.90%,1,17.10%,9043,Low Risk,High Risk,0.61,2,3
124,0.00%,0,21.40%,6083,Low Risk,Low Risk,0.67,2,4
125,76.70%,1,72.20%,5300,High Risk,High Risk,0.68,2,4
126,12.60%,0,12.90%,3880,Low Risk,Low Risk,0.67,2,4
127,97.10%,0,69.90%,3506,High Risk,High Risk,0.66,2,4
128,97.00%,1,46.90%,8000,High Risk,High Risk,0.65,2,4
129,32.80%,1,25.30%,5380,High Risk,High Risk,0.63,2,3
130,53.10%,0,3.90%,4166,Low Risk,High Risk,0.61,2,3
131,100.00%,0,37.90%,2561,Low Risk,Low Risk,0.6,2,2
132,6.40%,3,66.90%,2720,High Risk,High Risk,0.68,2,4
133,12.10%,0,21.50%,7233,Low Risk,Low Risk,0.69,2,4
134,24.80%,2,46.00%,9024,High Risk,High Risk,0.6,2,2
135,83.80%,0,93.60%,5666,High Risk,High Risk,0.65,2,4
136,21.70%,0,35.30%,9333,Low Risk,Low Risk,0.65,2,4
137,100.00%,0,17.20%,2500,Low Risk,High Risk,0.61,2,3
138,1.00%,2,0.80%,2500,Low Risk,High Risk,0.63,2,3
139,48.50%,0,74.80%,4434,High Risk,High Risk,0.68,2,4
140,87.00%,0,50.30%,13749,Low Risk,High Risk,0.62,2,3
141,9.90%,0,19.10%,3241,Low Risk,Low Risk,0.6,2,2
142,1.60%,0,215.40%,3750,Low Risk,Low Risk,0.68,2,4
143,2.60%,0,14.90%,3200,Low Risk,Low Risk,0.68,2,4
144,4.90%,0,18.30%,4250,Low Risk,Low Risk,0.62,2,3
145,100.00%,0,0.00%,4060,Low Risk,Low Risk,0.63,2,3
146,0.00%,0,2.10%,3000,Low Risk,High Risk,0.65,2,4
147,95.40%,0,55.10%,4200,Low Risk,High Risk,0.62,2,3
148,0.00%,0,96.40%,3600,Low Risk,Low Risk,0.63,2,3
149,21.00%,0,118.30%,3180,Low Risk,Low Risk,0.65,2,4
150,100.00%,0,20.60%,2000,High Risk,High Risk,0.61,2,3
151,22.70%,0,22.30%,1881,Low Risk,Low Risk,0.62,2,3
152,3.60%,0,56.90%,11666,Low Risk,Low Risk,0.62,2,3
153,58.70%,0,54.00%,12000,High Risk,Low Risk,0.62,2,3
154,65.70%,3,24.30%,14100,High Risk,High Risk,0.64,2,3
155,6.20%,0,47.10%,6700,Low Risk,Low Risk,0.6,2,2
156,98.30%,0,44.10%,3541,High Risk,High Risk,0.65,2,4
157,36.70%,0,1.10%,4000,Low Risk,High Risk,0.61,2,3
158,72.50%,0,40.30%,5150,Low Risk,Low Risk,0.65,2,4
159,96.30%,1,60.10%,7719,High Risk,High Risk,0.65,2,4
160,100.00%,0,0.00%,3000,Low Risk,High Risk,0.686409921,2,4
161,27.90%,0,16.70%,6250,Low Risk,Low Risk,0.7,3,4
162,95.60%,1,52.50%,10480,High Risk,High Risk,0.76,3,6
163,88.20%,1,7.10%,7680,Low Risk,High Risk,0.79,3,6
164,23.80%,4,49.20%,4448,High Risk,High Risk,0.79,3,6
165,0.00%,0,0.30%,7000,High Risk,Low Risk,0.73,3,5
166,78.90%,0,33.10%,2000,High Risk,Low Risk,0.77,3,6
167,58.60%,0,38.40%,3609,Low Risk,Low Risk,0.71,3,5
168,73.90%,0,6.70%,5800,High Risk,High Risk,0.75,3,5
169,44.30%,0,26.60%,9550,Low Risk,Low Risk,0.78,3,6
170,73.80%,0,49.60%,2569,Low Risk,High Risk,0.7,3,4
171,2.90%,0,0.30%,1154,Low Risk,Low Risk,0.73,3,5
172,87.90%,0,22.40%,4999,High Risk,Low Risk,0.71,3,5
173,98.20%,0,78.00%,4166,High Risk,High Risk,0.71,3,5
174,59.50%,1,20.10%,5283,High Risk,High Risk,0.78,3,6
175,15.30%,0,40.40%,4034,Low Risk,Low Risk,0.74,3,5
176,57.50%,2,30.40%,10347,Low Risk,High Risk,0.71,3,5
177,0.00%,1,32.40%,3350,High Risk,High Risk,0.78,3,6
178,67.00%,0,108.90%,3700,Low Risk,High Risk,0.77,3,6
179,6.60%,0,32.40%,5200,Low Risk,Low Risk,0.7,3,4
180,0.20%,0,48.90%,10508,Low Risk,Low Risk,0.71,3,5
181,99.40%,0,43.80%,4500,High Risk,High Risk,0.78,3,6
182,99.30%,2,14.60%,8650,High Risk,High Risk,0.76,3,6
183,29.90%,0,29.30%,5275,Low Risk,Low Risk,0.75,3,5
184,95.10%,0,51.50%,10847,Low Risk,High Risk,0.76,3,6
185,1.10%,0,4.00%,2100,Low Risk,Low Risk,0.76,3,6
186,52.00%,2,66.60%,7083,High Risk,High Risk,0.75,3,5
187,10.40%,0,35.20%,3200,Low Risk,Low Risk,0.71,3,5
188,100.00%,0,53.70%,5333,Low Risk,High Risk,0.74,3,5
189,9.50%,0,18.20%,3578,Low Risk,Low Risk,0.71,3,5
190,100.00%,1,93.70%,4740,High Risk,High Risk,0.76,3,6
191,0.20%,0,27.70%,16500,Low Risk,Low Risk,0.74,3,5
192,25.40%,0,9.90%,1900,Low Risk,Low Risk,0.75,3,5
193,13.60%,4,87.20%,6125,Low Risk,High Risk,0.79,3,6
194,45.60%,0,51.90%,8100,High Risk,Low Risk,0.74,3,5
195,67.80%,0,99.10%,3500,High Risk,High Risk,0.74,3,5
196,22.10%,0,32.00%,4500,High Risk,Low Risk,0.7,3,4
197,66.70%,1,54.30%,5050,High Risk,High Risk,0.74,3,5
198,53.50%,2,29.10%,10000,High Risk,High Risk,0.71,3,5
199,0.00%,0,9.00%,10500,Low Risk,Low Risk,0.76,3,6
200,82.00%,0,49.60%,6483,Low Risk,High Risk,0.7,3,4
201,19.10%,0,72.60%,4242,High Risk,Low Risk,0.79,3,6
202,15.10%,0,31.20%,10000,High Risk,Low Risk,0.76,3,6
203,54.00%,0,52.70%,10933,High Risk,High Risk,0.72,3,5
204,38.60%,0,13.30%,52500,Low Risk,Low Risk,0.7,3,4
205,100.00%,0,23.80%,7666,Low Risk,High Risk,0.75,3,5
206,0.50%,0,47.40%,9165,Low Risk,Low Risk,0.72,3,5
207,14.30%,0,11.90%,5666,Low Risk,Low Risk,0.79,3,6
208,83.50%,1,26.00%,9433,High Risk,High Risk,0.71,3,5
209,34.70%,1,43.40%,3060,Low Risk,Low Risk,0.71,3,5
210,0.00%,1,32.60%,6200,High Risk,High Risk,0.71,3,5
211,100.00%,0,4.50%,4900,High Risk,High Risk,0.72,3,5
212,5.40%,0,1.20%,4750,Low Risk,Low Risk,0.7,3,4
213,35.90%,2,34.90%,8000,Low Risk,High Risk,0.7,3,4
214,4.00%,0,80.30%,2780,Low Risk,Low Risk,0.73,3,5
215,75.20%,0,33.30%,4350,High Risk,High Risk,0.7,3,4
216,31.90%,0,57.00%,12150,High Risk,Low Risk,0.7,3,4
217,30.10%,0,44.90%,4175,Low Risk,Low Risk,0.73,3,5
218,7.70%,0,14.30%,7416,Low Risk,Low Risk,0.7,3,4
219,100.00%,0,25.50%,4500,High Risk,High Risk,0.78,3,6
220,50.20%,0,37.50%,2500,High Risk,High Risk,0.71,3,5
221,58.00%,0,45.80%,4500,Low Risk,High Risk,0.79,3,6
222,100.00%,0,0.00%,2443,Low Risk,High Risk,0.785999641,3,6
223,75.20%,1,42.70%,6666,Low Risk,High Risk,0.78,3,6
224,47.10%,0,28.80%,4975,Low Risk,Low Risk,0.73,3,5
225,100.00%,1,24.00%,1600,High Risk,High Risk,0.71,3,5
226,0.00%,0,5.70%,9594,Low Risk,Low Risk,0.79,3,6
227,26.70%,0,29.40%,6300,Low Risk,Low Risk,0.74,3,5
228,70.00%,0,76.30%,5150,Low Risk,High Risk,0.75,3,5
229,6.40%,0,31.70%,12000,Low Risk,Low Risk,0.76,3,6
230,25.80%,0,48.20%,6100,High Risk,Low Risk,0.7,3,4
231,12.40%,1,55.80%,4750,Low Risk,High Risk,0.74,3,5
232,86.60%,1,36.20%,8135,High Risk,High Risk,0.79,3,6
233,99.40%,0,32.80%,2917,High Risk,High Risk,0.78,3,6
234,17.20%,0,29.30%,8500,Low Risk,Low Risk,0.79,3,6
235,65.70%,0,39.40%,5183,High Risk,Low Risk,0.72,3,5
236,100.00%,0,0.30%,4791,High Risk,High Risk,0.72,3,5
237,7.50%,0,32.70%,6716,Low Risk,Low Risk,0.78,3,6
238,100.00%,2,21.40%,1300,High Risk,High Risk,0.75,3,5
239,14.80%,0,11.00%,6700,High Risk,Low Risk,0.72,3,5
240,98.40%,1,57.90%,6620,High Risk,High Risk,0.79,3,6
241,12.20%,0,2.80%,5388,Low Risk,Low Risk,0.8,4,7
242,40.10%,0,40.60%,1515,Low Risk,Low Risk,0.82,4,7
243,100.00%,0,0.00%,5343,Low Risk,Low Risk,0.865167878,4,8
244,100.00%,1,0.00%,2253,Low Risk,High Risk,0.82,4,7
245,82.60%,0,83.10%,3437,Low Risk,High Risk,0.81,4,7
246,0.00%,0,18.10%,3500,Low Risk,Low Risk,0.89,4,8
247,100.00%,0,54.50%,1153,Low Risk,High Risk,0.82,4,7
248,94.10%,1,57.80%,10000,Low Risk,High Risk,0.89,4,8
249,7.50%,0,32.80%,9600,High Risk,Low Risk,0.82,4,7
250,99.60%,0,29.20%,5780,High Risk,High Risk,0.8,4,7
251,100.00%,0,2.20%,5313,High Risk,High Risk,0.81,4,7
252,3.80%,0,10.90%,7000,Low Risk,Low Risk,0.84,4,7
253,2.60%,0,274.00%,2058,High Risk,Low Risk,0.83,4,7
254,73.40%,2,36.90%,8785,High Risk,High Risk,0.87,4,8
255,100.00%,0,6.90%,1200,High Risk,High Risk,0.88,4,8
256,13.60%,0,47.00%,8240,Low Risk,Low Risk,0.87,4,8
257,100.00%,1,27.20%,2245,High Risk,High Risk,0.86,4,8
258,44.90%,0,29.90%,7000,Low Risk,Low Risk,0.84,4,7
259,97.50%,1,43.00%,4310,High Risk,High Risk,0.81,4,7
260,0.00%,4,19.00%,6883,Low Risk,High Risk,0.83,4,7
261,100.00%,0,71.40%,4600,High Risk,High Risk,0.84,4,7
262,82.00%,1,17.00%,4400,High Risk,High Risk,0.83,4,7
263,0.00%,0,1.50%,58979,Low Risk,Low Risk,0.83,4,7
264,75.10%,1,28.80%,3500,High Risk,High Risk,0.8,4,7
265,80.00%,2,51.90%,4300,High Risk,High Risk,0.87,4,8
266,93.20%,1,56.80%,10073,High Risk,High Risk,0.8,4,7
267,25.90%,0,13.80%,10001,Low Risk,Low Risk,0.84,4,7
268,57.40%,0,36.00%,4000,High Risk,Low Risk,0.85,4,7
269,0.00%,0,63.50%,2800,Low Risk,Low Risk,0.83,4,7
270,7.90%,0,28.60%,5079,High Risk,Low Risk,0.82,4,7
271,100.00%,0,1.20%,8333,High Risk,High Risk,0.87,4,8
272,23.70%,2,41.10%,7583,High Risk,Low Risk,0.8,4,7
273,7.20%,0,61.10%,5000,Low Risk,Low Risk,0.83,4,7
274,2.40%,0,28.80%,10000,Low Risk,Low Risk,0.87,4,8
275,73.30%,2,14.00%,9200,Low Risk,High Risk,0.89,4,8
276,0.00%,0,57.90%,7300,Low Risk,Low Risk,0.85,4,7
277,0.00%,1,16.10%,5086,High Risk,High Risk,0.83,4,7
278,18.60%,2,10.00%,2000,High Risk,High Risk,0.87,4,8
279,60.90%,2,77.90%,8950,High Risk,High Risk,0.82,4,7
280,32.80%,0,5.60%,12000,Low Risk,Low Risk,0.81,4,7
281,0.10%,1,18.90%,13416,Low Risk,Low Risk,0.86,4,8
282,5.70%,0,22.60%,14700,Low Risk,Low Risk,0.81,4,7
283,100.00%,3,29.40%,4583,High Risk,High Risk,0.84,4,7
284,0.00%,0,18.60%,4926,Low Risk,Low Risk,0.8,4,7
285,2.20%,0,0.80%,3333,Low Risk,Low Risk,0.88,4,8
286,100.00%,0,42.50%,3650,Low Risk,High Risk,0.86,4,8
287,74.10%,2,15.30%,9000,High Risk,High Risk,0.89,4,8
288,100.00%,3,50.40%,12500,High Risk,High Risk,0.88,4,8
289,15.50%,0,9.00%,3250,Low Risk,Low Risk,0.84,4,7
290,14.00%,0,7.50%,10866,Low Risk,Low Risk,0.84,4,7
291,1.50%,0,33.90%,6750,Low Risk,Low Risk,0.83,4,7
292,83.70%,1,48.00%,2812,High Risk,High Risk,0.81,4,7
293,1.30%,0,19.50%,4060,Low Risk,Low Risk,0.83,4,7
294,0.40%,0,40.20%,10583,Low Risk,Low Risk,0.81,4,7
295,16.70%,0,25.50%,20166,Low Risk,Low Risk,0.8,4,7
296,18.70%,1,42.70%,7300,Low Risk,Low Risk,0.82,4,7
297,90.00%,0,17.20%,2000,Low Risk,High Risk,0.87,4,8
298,57.40%,1,22.30%,4111,High Risk,High Risk,0.88,4,8
299,62.40%,0,41.10%,10040,Low Risk,Low Risk,0.82,4,7
300,91.50%,2,60.30%,14900,High Risk,High Risk,0.87,4,8
301,2.60%,0,1.10%,4000,Low Risk,Low Risk,0.82,4,7
302,78.50%,2,19.50%,4200,High Risk,High Risk,0.82,4,7
303,100.00%,1,0.00%,2258,Low Risk,High Risk,0.82,4,7
304,100.00%,0,5.10%,3608,High Risk,High Risk,0.86,4,8
305,88.40%,1,28.10%,1900,High Risk,High Risk,0.89,4,8
306,1.40%,0,12.40%,16666,Low Risk,Low Risk,0.84,4,7
307,97.50%,1,13.10%,1200,Low Risk,High Risk,0.83,4,7
308,0.30%,0,3.70%,5500,Low Risk,Low Risk,0.86,4,8
309,3.80%,0,32.40%,10500,Low Risk,Low Risk,0.81,4,7
310,100.00%,0,39.80%,4700,High Risk,High Risk,0.88,4,8
311,46.10%,0,22.70%,10243,Low Risk,Low Risk,0.86,4,8
312,30.80%,0,17.60%,13759,High Risk,Low Risk,0.81,4,7
313,100.00%,1,60.70%,3100,High Risk,High Risk,0.84,4,7
314,96.40%,0,24.40%,8750,High Risk,Low Risk,0.85,4,7
315,90.30%,1,28.40%,5341,High Risk,High Risk,0.8,4,7
316,64.50%,1,2.40%,2332,High Risk,High Risk,0.89,4,8
317,80.80%,1,13.60%,1835,High Risk,High Risk,0.81,4,7
318,41.40%,1,0.40%,2500,High Risk,High Risk,0.81,4,7
319,98.30%,0,31.50%,2200,Low Risk,High Risk,0.8,4,7
320,46.90%,7,77.20%,4500,High Risk,High Risk,0.8,4,7
321,0.00%,0,5.70%,2700,Low Risk,Low Risk,0.97,5,9
322,80.20%,6,44.90%,6600,High Risk,High Risk,0.94,5,9
323,4.10%,0,17.20%,8044,Low Risk,Low Risk,0.98,5,9
324,13.70%,0,23.80%,12250,Low Risk,Low Risk,0.93,5,9
325,100.00%,0,6.70%,1500,High Risk,High Risk,0.95,5,9
326,1.70%,0,52.20%,3500,Low Risk,Low Risk,0.96,5,9
327,91.00%,3,66.80%,3600,High Risk,High Risk,0.96,5,9
328,97.90%,3,11.40%,7016,Low Risk,High Risk,0.94,5,9
329,76.20%,3,52.10%,7167,High Risk,High Risk,0.96,5,9
330,44.50%,0,75.20%,4282,High Risk,High Risk,0.94,5,9
331,0.00%,0,116.70%,1056,High Risk,Low Risk,0.99,5,9
332,39.90%,0,32.10%,9800,High Risk,Low Risk,0.91,5,9
333,68.50%,2,44.10%,5932,High Risk,High Risk,0.93,5,9
334,100.00%,0,2.40%,3150,High Risk,High Risk,0.97,5,9
335,0.00%,0,34.40%,4342,High Risk,Low Risk,0.91,5,9
336,69.00%,4,22.30%,3400,High Risk,High Risk,0.95,5,9
337,8.00%,0,24.60%,12451,Low Risk,Low Risk,0.91,5,9
338,0.00%,0,0.00%,4700,Low Risk,Low Risk,0.925002209,5,9
339,100.00%,1,9.60%,5667,High Risk,High Risk,0.91,5,9
340,100.00%,3,79.90%,3000,High Risk,High Risk,0.98,5,9
341,10.50%,0,4.80%,7307,Low Risk,Low Risk,0.92,5,9
342,100.00%,1,14.50%,3566,Low Risk,High Risk,0.97,5,9
343,2.70%,0,8.30%,4500,High Risk,Low Risk,0.98,5,9
344,100.00%,1,19.50%,7916,High Risk,High Risk,0.96,5,9
345,1.40%,0,31.20%,6633,Low Risk,Low Risk,0.93,5,9
346,1.70%,0,1.00%,2500,High Risk,Low Risk,0.97,5,9
347,91.50%,2,46.00%,5200,High Risk,High Risk,0.97,5,9
348,20.20%,0,33.80%,8100,Low Risk,Low Risk,0.94,5,9
349,0.10%,0,0.00%,6500,High Risk,Low Risk,0.98,5,9
350,100.00%,2,37.30%,2700,High Risk,High Risk,0.91,5,9
351,2.10%,0,17.50%,7127,Low Risk,Low Risk,0.97,5,9
352,100.00%,2,19.30%,3400,High Risk,High Risk,0.97,5,9
353,91.70%,2,52.40%,2800,High Risk,High Risk,0.97,5,9
354,2.30%,0,29.90%,6477,Low Risk,Low Risk,0.97,5,9
355,0.90%,0,1.00%,2606,Low Risk,Low Risk,0.99,5,9
356,82.80%,2,42.90%,5333,High Risk,High Risk,0.93,5,9
357,99.20%,2,100.70%,14700,High Risk,High Risk,0.92,5,9
358,1.70%,0,30.60%,5266,Low Risk,Low Risk,0.96,5,9
359,82.80%,2,87.00%,5200,High Risk,High Risk,0.92,5,9
360,93.30%,0,139.30%,2167,Low Risk,High Risk,0.9,5,9
361,93.00%,4,18.60%,10500,High Risk,High Risk,0.91,5,9
362,8.00%,0,19.50%,8133,Low Risk,Low Risk,0.99,5,9
363,1.60%,0,21.40%,10833,Low Risk,Low Risk,0.92,5,9
364,100.00%,0,4.10%,1627,High Risk,High Risk,0.91,5,9
365,3.10%,0,7.00%,4760,Low Risk,Low Risk,0.94,5,9
366,100.00%,1,203.30%,1225,High Risk,High Risk,0.93,5,9
367,6.80%,0,17.30%,11270,Low Risk,Low Risk,0.93,5,9
368,49.50%,3,13.30%,4300,High Risk,High Risk,0.95,5,9
369,23.60%,0,2.00%,11979,Low Risk,Low Risk,0.91,5,9
370,3.10%,0,29.70%,10833,Low Risk,Low Risk,0.95,5,9
371,0.00%,0,0.00%,1150,Low Risk,Low Risk,0.96,5,9
372,100.00%,0,0.00%,800,Low Risk,Low Risk,0.9,5,9
373,2.00%,0,0.40%,12500,Low Risk,Low Risk,0.96,5,9
374,15.60%,0,25.10%,7820,Low Risk,Low Risk,0.91,5,9
375,100.00%,0,38.10%,3166,Low Risk,High Risk,0.92,5,9
376,12.90%,0,29.10%,7575,Low Risk,Low Risk,0.91,5,9
377,91.60%,1,45.90%,2497,Low Risk,High Risk,0.93,5,9
378,3.90%,0,42.20%,3083,Low Risk,Low Risk,0.98,5,9
379,100.00%,3,25.60%,1872,High Risk,High Risk,0.95,5,9
380,56.30%,2,43.80%,5550,Low Risk,High Risk,0.9,5,9
381,100.00%,1,3.50%,5460,High Risk,High Risk,0.91,5,9
382,3.10%,0,21.50%,11733,Low Risk,Low Risk,0.96,5,9
383,100.00%,0,0.00%,2200,High Risk,Low Risk,0.97,5,9
